FlightNumber,PayloadMass,Orbit,LaunchSite,Class
616,6182.381443298969,LEO,Cape Canaveral,1
617,6182.381443298969,LEO,Cape Canaveral,1
618,6182.381443298969,SSO,Vandenberg,1
619,6182.381443298969,LEO,Cape Canaveral,1
620,6182.381443298969,SSO,Vandenberg,1
621,6182.381443298969,SSO,Vandenberg,1
622,6182.381443298969,LEO,Cape Canaveral,1
623,6182.381443298969,LEO,Cape Canaveral,1
624,6182.381443298969,SSO,Vandenberg,1
625,6182.381443298969,SSO,Vandenberg,1
626,5000.0,LEO,Cape Canaveral,1
627,6182.381443298969,LEO,Cape Canaveral,1
628,6182.381443298969,SSO,Vandenberg,1
629,6182.381443298969,LEO,Vandenberg,1
630,4350.0,MEO,Cape Canaveral,1
631,6182.381443298969,SSO,Vandenberg,1
632,6182.381443298969,SSO,Vandenberg,1
633,6182.381443298969,SSO,Vandenberg,1
634,6182.381443298969,LEO,Cape Canaveral,1
635,500.0,SSO,Vandenberg,1
636,6182.381443298969,SSO,Vandenberg,1
637,6182.381443298969,LEO,Vandenberg,1
638,2948.0,LEO,Cape Canaveral,1
639,6182.381443298969,SSO,Vandenberg,1
640,6182.381443298969,LEO,Cape Canaveral,1
641,6182.381443298969,LEO,Cape Canaveral,1
642,6182.381443298969,SSO,Vandenberg,1
643,6182.381443298969,LEO,Cape Canaveral,1
644,6182.381443298969,SSO,Vandenberg,1
645,6182.381443298969,SSO,Vandenberg,1
646,6182.381443298969,LEO,Cape Canaveral,1
647,6182.381443298969,SSO,Vandenberg,1
648,6182.381443298969,LEO,Cape Canaveral,1
649,6182.381443298969,SSO,Vandenberg,1
650,6182.381443298969,LEO,Cape Canaveral,1
651,6182.381443298969,SSO,Vandenberg,1
652,6182.381443298969,LEO,Cape Canaveral,1
653,6182.381443298969,LEO,Vandenberg,1
654,6182.381443298969,SSO,Vandenberg,1
655,6182.381443298969,LEO,Cape Canaveral,1
656,6182.381443298969,SSO,Vandenberg,1
657,6182.381443298969,SSO,Vandenberg,1
658,7000.0,GTO,Cape Canaveral,1
659,6182.381443298969,SSO,Vandenberg,1
660,6182.381443298969,LEO,Cape Canaveral,1
661,6182.381443298969,SSO,Vandenberg,1
662,6182.381443298969,LEO,Cape Canaveral,1
663,6182.381443298969,SSO,Vandenberg,1
664,6182.381443298969,LEO,Vandenberg,1
665,6182.381443298969,LEO,Cape Canaveral,1
666,6182.381443298969,Polar,Vandenberg,1
667,6182.381443298969,SSO,Vandenberg,1
668,6182.381443298969,GTO,Cape Canaveral,0
669,6182.381443298969,SSO,Vandenberg,1
670,6182.381443298969,LEO,Cape Canaveral,1
671,6182.381443298969,SSO,Vandenberg,1
672,6182.381443298969,SSO,Vandenberg,1
673,6182.381443298969,LEO,Cape Canaveral,1
674,6182.381443298969,SSO,Vandenberg,1
675,6182.381443298969,LEO,Cape Canaveral,1
676,6182.381443298969,SSO,Vandenberg,1
677,4000.0,LEO,Cape Canaveral,1
678,6182.381443298969,LEO,Vandenberg,1
679,6182.381443298969,SSO,Vandenberg,1
680,6182.381443298969,LEO,Cape Canaveral,1
681,6182.381443298969,LEO,Vandenberg,1
